file,title,sentences,entities
11587820.xml,
Lactobacillus rhamnosus GG attenuates depression‐like behaviour and cognitive deficits in chronic ethanol exposure mice by down‐regulating systemic inflammatory factors,"The use of LGG and antibiotics alleviated the depressionlike behaviour and cognitive impairment of CEEinduced mice, reduced expression of inflammatory factors such as interleukin (IL)6, IL1β and tumour necrosis factor (TNF)α in the ileum, serum and brain and increased the expression of synaptophysin (SYN), postsynaptic density protein95 (PSD95) and brainderived neurotrophic factor (BDNF) in the hippocampus. | (C) Representative Western blot and quantification of brainderived neurotrophic factor (BDNF) in the hippocampus. | 33 LGG supplementation was shown to strengthen the integrity of the BBB, increase the expression of brainderived neurotrophic factor (BDNF) and glial cell linederived neurotrophic factor (GDNF) and provide neuroprotection against Parkinsons disease (PD). | Grind according to the ratio of 10 mg sample 100 μL lysis solution (radioimmunoprecipitation assay (RIPA) protease inhibitor cocktail (PIC) phenylmethylsulfonyl fluoride (PMSF), 0.1 gmL), and then let it stand for 2 h.","##E (ORG), ##than (MISC), Lac (MISC), ##baci (MISC), G (MISC), L (ORG), L (MISC), CE (MISC), CE (MISC), CE (MISC), IL (MISC), IL1 (MISC), T (MISC), ##D (MISC), Ethan (MISC), B (MISC)"
11587860.xml,Identifying key biomarkers and therapeutic candidates for post-COVID-19 depression through integrated omics and bioinformatics approaches,"We filtered for candidate therapeutic compounds with a connective score absolute value exceeding 90, which may have significant implications for treatment. | T-cell activation is particularly important for neuroprotection and anti-inflammatory effects in major depressive disorder . | Moreover, the NF-κB pathway also plays a significant role in neuronal plasticity and neurogenesis related to depression, while the PI3K-Akt pathway is implicated in antidepressant activity and neuroprotection . | For the first time, we identified a series of TFs, miRNAs, and small molecule compounds, charting a course for future research endeavors. | BIBX 1382, an EGFR inhibitor, and paroxetine, a serotonin reuptake inhibitor, are also among the potential therapeutic agents, along with doxorubicin, which has been repurposed as an anti-COVID-19 drug .","2 (MISC), CO (MISC), ##D (MISC), 19 (MISC), Gene Express (MISC), O (MISC), CO (MISC), ##D (MISC), Kyoto Encyclopedia of Genes and Genomes (MISC), C (MISC), ##IBER (ORG), Network (MISC), ##A (ORG), ##ys (ORG), Con (MISC), Map (MISC), PLEK (ORG), FA (ORG), CO (MISC), ##D (MISC), COVID (MISC), CO (MISC), ##D (MISC), 19 (MISC)"
11587875.xml,Tilianin content and morphological characterization of colchicine-induced autotetraploids in Agastache mexicana,"mexicana are predominantly attributed to the presence of terpenes and phenolic compounds, particularly tilianin (acacetin-7-glucoside), the most abundant flavonoid identified in A. | Tilianin is a bioactive compound derived from plant secondary metabolism that manifests various biological activities beneficial to human health, including neuroprotective, anti-atherogenic, anti-hypertensive, cardioprotective, anti-inflammatory, antioxidant, anti-depressant, and antitumor effects, among others (Akanda et al., 2019; Chen et al., 2024). | This process involves chromosome doubling through the application of mitotic spindle inhibitors to somatic cells. | This approach has been successfully applied to important medicinal plants such as Thymus vulgaris (Shmeit et al., 2020), Artemisia annua (Lin et al., 2011), Cannabis sativa (Parsons et al., 2019), and Papaver somniferum (Mishra et al., 2010), demonstrating remarkable benefits in both agronomic traits and yield of commercially valuable compounds compared to diploids plants. | Colchicine, a plant alkaloid, has been successfully used to treat seeds, seedlings in vivo shoot tips, and in vitro explants from several genera of the Lamiaceae family for tetraploidy induction, registering a significant effect on the content and composition of bioactive compounds in species of Agastache (Talebi et al., 2017), Dracocephalum (Yavari, Omidbaigi Hassani, 2011), Lavandula (Urwin, Horsnell Moon, 2007; Urwin, 2014), Ocimum (Omidbaigi, Mirzaei Moghadam, 2010), Salvia (Estaji et al., 2017), and Thymus (Tavan, Mirjalili Karimzadeh, 2015). | In the case of the Agastache genus, few studies have been published, which evaluate the effect of the in vitro polyploidization on the qualitative and quantitative production of bioactive compounds. | Information about the morphological traits of polyploid plants of Agastache genus and their effect on phenolic and flavonoid compounds remains limited. | The changes in morphology and bioactive compound content of the polyploid plants could represent an agronomic advantage for their cultivation.","Agasta (MISC), ##xican (MISC), Linton Epling (PER), ##xican (MISC), Lam (MISC), ##iac (ORG), ##eae (MISC), A (MISC), ##xican (MISC), Mu (MISC), ##ige (MISC), Skoog (MISC)"
11588427.xml,Sinomenine Ameliorated Microglial Activation and Neuropathic Pain After Chronic Constriction Injury Via TGF‐β1/ALK5/Smad3 Signalling Pathway,"Intrathecal injection of TGFβ1 siRNA and an activin receptorlike receptor (ALK5) inhibitor reversed SINs antinociceptive and antimicroglial effects on CCI mice. | Moreover, targeting Smad3 in vitro with siRNA dampened the inhibitory effect of TGFβ1 on lipopolysaccharideinduced microglial activation. | Mechanistic studies have revealed that inhibiting microglialinduced neuroinflammation is a common mechanism for the neuroprotective effect of SIN . | The ALK1 selective inhibitor ML347 (100 ng, HY12274; MedChemExpress, NJ, USA) or ALK5 selective inhibitor ALK5 inhibitor SB505124 (100 ng, HY13521; MedChemExpress, NJ, USA) was dissolved in 2 μL of 10 DMSO and intrathecally administered to CCI mice following treatment with SIN to determine which receptor was involved in the effects of SIN on CCI mice. | The selective Smad3 inhibitor, SIS3 (100 ng, HY13013; MedChemExpress, NJ, USA), was intrathecally administered to CCI mice following SIN treatment to confirm that Smad3 phosphorylation was responsible for SINinduced microglial inhibition. | The SINtreated CCI mice were intrathecally administered an ALK1 selective inhibitor (ML347) or ALK5 selective inhibitor (SB505124) to identify the receptor that initiates the TGFβ1mediated intracellular signalling cascade of antimicroglial activation. | FIGURE 6 Intrathecal injection of an ALK5 inhibitor abrogated SINinduced pain amelioration and microglial inhibition. | (B and C) Time course of PWT and TWL in sham and CCI mice after SIN treatment and the inhibitors intrathecal delivery, data are presented as mean SEM, Sham group versus CCI group p 0.001; SIN group versus CCI group p 0.05, p 0.01; SINSB505124 group versus SIN group p 0.05, p 0.01, n 12. | (DG) Double immunofluorescence staining exhibited the expression of Iba1 (green) with pSmad3 (red) in the ipsilateral spinal dorsal horn of sham and CCI mice after SIN treatment and intrathecal delivery of inhibitors (scale bar 100 μm). | (HJ) WB analysis showed the TGFβ1, Iba1 and pSmad3 expression levels in the ipsilateral spinal dorsal horn of sham and CCI mice after SIN treatment and inhibitor intrathecal delivery. | FIGURE 7 Smad3 is pivotal for the inhibitory effects of TGFβ1 on LPSinduced microglial activation. | 3.6 Blocking of Smad3 Reversed SINInduced Pain Alleviation and Microglial Inhibition in CCI Mice Consistent with the in vitro study, we also observed that Smad3 plays a key role in the action of SIN in CCI mice via intrathecal delivery of 100 ng of Smad3 inhibitor (SIS3). | Additionally, SIS3 abrogated the inhibitory effect of SIN on Iba1 expression in the ipsilateral spinal dorsal horn of CCI mice (Iba1 positive area: oneway ANOVA F 3,20 19.596, p 0.001; Iba1GAPDH: oneway ANOVA F 3,20 101.061, p 0.001) (Figure 8DF). | FIGURE 8 Intrathecal injection of a Smad3 inhibitor abrogated SINinduced pain amelioration and microglial inhibition. | Intrathecal administration of an ALK5 inhibitor abrogated the beneficial effects of SIN. | Previous studies have shown that SIN is not only an efficient pain killer but also a potent inhibitor of microglial activation for male and female rodents in several neuroinflammatory states . | The SINtreated CCI mice were intrathecally administered an ALK1 selective inhibitor (ML347) or ALK5 selective inhibitor (SB505124) to distinguish which ALK receptors were involved in the TGFβ1related antimicroglial effect. | The role of Smad3 in SIN effects was determined in vivo by intrathecal administration of a Smad3 inhibitor to SINtreated CCI mice. | As expected, the Smad3 inhibitor restrained the beneficial effects of SIN on pain and spinal microglia in CCI mice.","ABS (ORG), Sinomen (MISC), CC (MISC), S (MISC), CC (MISC), ##GF (MISC), AL (MISC), S (MISC), CCI (ORG), S (MISC), S (MISC), CC (MISC)"
11588930.xml,SMOC1 colocalizes with Alzheimer’s disease neuropathology and delays Aβ aggregation,"SMOC1 is predominantly expressed by oligodendrocyte precursor cells (OPCs), with expression also observed in inhibitory vasoactive intestinal peptide interneurons, and oligodendrocytes at comparatively lower levels . | Briefly, fresh-frozen frontal cortex tissue was pulverized and dounce homogenized in 20 wv ice-cold homogenization buffer (50 mM HEPES pH 7.0, 250 mM sucrose, 1 mM EDTA, protease, and phosphatase inhibitor cocktails). | While further study is required to determine the mechanistic role of SMOC1 in AD, preliminary results from an independent group suggest that it may be neuroprotective as SMOC1 overexpression in a transgenic mouse model of AD significantly reduced amyloid plaque count without any accompanying neurotoxicity . | Of particular interest is S100B, which also inhibits Aβ42 fibril formation in vitro , binds Aβ in a calcium-dependent manner , and can rescue Aβ42-induced toxicity in SHSY5Y cells , supporting a neuroprotective role of calcium-binding proteins. | However, future studies are essential to closely explore the role of SMOC1 in AD, particularly studies that examine if SMOC1 is neuroprotective in AD.","Alzheimers (MISC), AD (MISC), SM (MISC), AD (MISC), SM (MISC), AD (MISC), AD (MISC), SM (MISC), AD (MISC), MC (MISC), AD (MISC), MC (MISC), AD (MISC), A (MISC), Thi (MISC), ##in (MISC), T (MISC), AD (MISC), AD (MISC), AD (MISC), AD (MISC), AD (MISC), AD (MISC)"
11589019.xml,Stress-induced premature senescence in high five cell cultures: a principal factor in cell-density effects,"Numerous studies have confirmed that the deterioration in protein yields with increased cell density cannot be simply attributed to the consumption of essential nutrients or the accumulation of inhibitory byproducts (Bernal et al. | The replication of the baculovirus genome was initiated by exploiting enhancers and transcription activators in the transcription machinery of host cells (Saxena et al. | SRC is considered a neuroprotective mechanism against excitotoxicity in fibroblasts (DeWaal et al. | Furthermore, NDUFA12 has emerged as a target protein for the natural small molecule Ertredin, which has demonstrated efficacy in inhibiting the growth of cancer cells harboring EGFRvIII mutations, associated with anti-tumor activity (Park et al.","Baculovirus Expression Vector System (MISC), BE (MISC), B (MISC), ##E (ORG), Five (MISC), CC (MISC), Five (MISC), Five (MISC), Ba (MISC)"
11589138.xml,Intragastric administration of short chain fatty acids greatly reduces voluntary ethanol intake in rats,"Additionally, SCFAs have neuroactive properties due to their role as histone deacetylase (HDAC) inhibitors27, directly influencing brain function and behavior2830. | Sodium butyrate increases histone acetylation It has been reported that sodium butyrate can act as a potent inhibitor of the histone deacetylase activity, leading to histone hyperacetylation and changes in gene expression37. | Nevertheless, further studies are needed to fully understand the mechanism behind the therapeutic effects, since SCFAs and butyrate may also directly influence the brain by reinforcing the brain-blood-barrier integrity, increasing tight junction protein expression75, modulating neurotransmission and influencing levels of several neurotrophic factors7678, which are reduced after chronic ethanol intake73.","##D (MISC), FDA (MISC), C (MISC), SC (MISC), UC (ORG), SC (MISC), SC (MISC), SC (MISC), SC (MISC)"
11589151.xml,scRNA-seq revealed transcriptional signatures of human umbilical cord primitive stem cells and their germ lineage origin regulated by imprinted genes,"Interestingly, this cluster also comprised DNA-binding protein inhibitors 1 and 3 (ID1 and ID3), that can bind and inhibit transcriptional activity of basic HLH proteins. | We also found expression of CDKN1C (also known as P57kip2) that is a cyclin-dependent kinase inhibitor that functions as a negative regulator of cell proliferation through G1 phase cell cycle arrest. | p value 0.001), NKD2, that is an inhibitor of WNT signaling (avg_log2FC 7.45; adj. | Integrated UMAP clusters of CD133 VSELs datasets visualized also a small subpopulation of cluster 8 with transcriptional signature of developmentally early genes, comprising of DLX6, a member of a homeobox transcription factor gene family playing a role in the forebrain and craniofacial development; paternally-expressed gene 3 PEG3; HOXA11, which encodes a transcription factor involved in proliferation, differentiation, and embryonic development; TCF15 involved in the early transcriptional regulation of mesoderm patterning; H19; IGF1; IGF-2, cyclin dependent kinase inhibitor 1C (CDKN1C); transcription factor involved in neuronal differentiation andor phenotypic maintenance (ZFP2); NTS that encodes a common precursor for neuromedin N and neurotensin; and NRN1L encoding an extracellular protein that enhances both neurite growth and neuronal survival (Table 3 in online). | p value 3.96E-15), that is a transcriptional regulator which can act as both a transcriptional repressor and activator by binding a DNA sequence on the target genes and is involved in processes including cell differentiation, migration, and survival76,77. | Integrated analysis also revealed expression of cyclin dependent kinase inhibitor 1C (CDKN1C) in VSELs. The encoded protein is a negative regulator of cell proliferation and a potent, tight-binding inhibitor of many G1 cyclinCdk complexes9799. | Recently, we reversed the quiescent state of UCB VSELs in presence of nicotinamde (NMA) that is an inhibitor of SIRT-134,103 and forces cells to expand and proliferate. | Moreover, we detected in our datasets SUMO E3 ligase-protein PIAS1 (Protein inhibitor of activated STAT-1) that inhibits both the transcription of STAT1 and the DNA-methyltransferase DNMT3A106.","CD (MISC), CD (MISC), CD (MISC), CD (MISC), B (MISC), E (MISC), CD (MISC), CD (MISC), CD (MISC)"
11589152.xml,Microglial cannabinoid receptor type II stimulation improves cognitive impairment and neuroinflammation in Alzheimer’s disease mice by controlling astrocyte activation,"Although there is growing evidence for the anti-neuroinflammatory and neuroprotective effects of the cannabinoid system modulation, the detailed mechanism remains unclear. | In addition, JWH133 administration inhibited the expression of p-STAT3 (signal transducer and activator of transcription 3) in astrocytes in AppNL-G-FNL-G-F mice. | Subsequently, we examined whether chronic CB2 receptor stimulation confers neuroprotection and ameliorates cognitive dysfunction in mice with AD. | Brain-derived neurotrophic factor (BDNF) is known to be a key molecule for cognitive function in the diseased brain . | The stability of the neural network is decreased in the AD brain, suggesting that the excitatoryinhibitory imbalance is strongly related to the pathogenesis of AD . | In brief, mouse brains were homogenized in 5 volumes of Tris buffer (50 mM TrisHCl pH7.6, 150 mM NaCl, complete protease inhibitor cocktail, and PhosSTOP phosphatase inhibitor cocktail) with 25 strokes using a potter homogenizer and centrifuged at 200,000 g for 20 min at 4 C.","Alzheimers (MISC), AD (MISC), AD (MISC), A (MISC), AD (MISC), AD (MISC), J (MISC), A (MISC), A (MISC), C (ORG), AD (MISC), J (MISC), A (MISC), J (MISC)"
11589602.xml,Unlocking gut-liver-brain axis communication metabolites: energy metabolism, immunity and barriers,"Upon digestion, the liver is the primary organ to encounter the diverse array of small molecules. | Together, the host and its gut flora produce various small molecules through the metabolism of xenobiotics and food. | In a recent review, the available evidence suggesting that SCFAs also facilitate metabolic communication between the gut flora and skeletal muscle, which SCFAs boost fatty acid absorb and oxidation while inhibiting fat deposition in skeletal muscle45.Table 1Sources of metabolites and their role in immune developmentMetabolitesInvolved BacteriaImmune developmentAcetatemost of the enteric bacteria, e.g., Akkermansia muciniphila,Bacteroides spp., Bifidobacterium spp., Prevotella spp.,Ruminococcus spp155,156(Producer)Suppressing neutrophil and macrophage pro-inflammatory cytokine production157PropionateBacteroides spp., Phascolarctobacterium succinatutens,Dialister spp., Veillonella spp., Bacteroides spp., Phascolarctobacterium succinatutens,Dialister spp., Veillonella spp155,158(Producer)Reduced production of pro-inflammatory cytokines such as IL-6 and IL-12; suppresses dendritic cell maturation159ButyrateCoprococcus comes, Coprococcus eutactus, Anaerostipes spp., Coprococcus catus, Eubacteriumrectale, Eubacterium hallii, Faecalibacteriumprausnitzii, Roseburia spp156,160(Producer)The most potent anti-inflammatory SCFA; inhibits the production of pro-inflammatory cytokines (TNF-α, IL-6) by acting as an HDAC (histone deacetylase) inhibitor161,162Bile AcidsClostridium and Eubacterium70(Convert primary bile acids to secondary bile acids).Regulating the differentiation of Treg cells and Th17 cells80; exhibits anti-inflammatory properties by activating TGR5 (BA receptor)85,86Polyamine (such as Spermine)Bifidobacterium animalis subsp. | SCFAs and immunity SCFAs act as inhibitors of histone deacetylases (HDACs), regulating the proliferation of both hematopoietic and non-hematopoietic cell lineages, thereby impacting their roles in host immune response (Fig. | Within the central nervous system (CNS), SCFAs alleviate neuroinflammation by influencing glial cell morphology and function, enhancing neurotrophic factors, promoting neurogenesis, supporting serotonin synthesis, and maintaining neuronal homeostasis shown in the Panel C. | This augmentation boosted the inhibitory capacity of Treg cells in normal physiological settings and enhanced their ability to mitigate colitis in mice53. | Maternal consumption of diets enriched with SCFA transmitted the inhibitory influence to offspring54, underscoring the epigenetic influence of SCFAs on immune system development and disease protection. | In therapeutic contexts, HDAC inhibitors have demonstrated efficacy in various animal models of inflammation, such as lipopolysaccharide (LPS)-stimulated cytokine secretion from DCs, resulting in decreased levels of interleukin (IL)-6, IL-1β, TNF-α, and interferon (IFN)-γ, attributed to Nf-κB impairment (Fig. | A recent review elucidated the molecular mechanisms by which butyrate attenuates inflammatory responses IBD, involving HDAC inhibitor activity, activation of PPARγ, and GPRs receptors. | LPS can serve as a potential activator of monocytes, binding to TLR4 to initiate downstream activation of NF-κB and Interferon Regulatory Factor (IRF) transcription factors, leading to the production of inflammatory cytokines and chemokines106. | SCFAs inhibit HDAC, boosting brain-derived neurotrophic factor for neuronal health. | In addition, SCFAs can reach the interior of cells and suppress the activation of HDAC, which normally inhibits the transcription of brain-derived neurotrophic factor126. | Tryptophan serves as a precursor to numerous microbial and host metabolites such as kynurenic acid, which exhibits anti-inflammatory properties in the gut and is regarded as neuroprotective136. | Butyrate, known for its neuroprotective roles and improves neuronal plasticity139. | Currently, the most commonly utilized FXR agonists are mainly BAs derivatives, and steroidal or nonsteroidal compounds133. | Addionally, another promising compound, Amilo-5MER, has recently initiated its first human study144. | Natural FXR antagonists like T-βMCA and GUDCA are quickly hydrolyzed by BSHs, prompting the development of small molecule FXR inhibitors like GlyMCA, which resists BSH hydrolysis and improves metabolic conditions in mice149. | Phase I human trials have confirmed the safety and tolerability of orally administered small molecule inhibitors targeting IDO1154.","Gut - Liver - Brain Axis (MISC), GLBA (MISC), Gut - Brain Axis (MISC), G (MISC), ##L (ORG), GL (MISC), G (MISC), ##L (ORG), GLBA (MISC), GL (MISC), Gut - Brain Axis (MISC), GutBrain (MISC)"
11589685.xml,Development of dihydrooxyresveratrol-loaded nanostructured lipid carriers for safe and effective treatment of hyperpigmentation,"Oxyresveratrol (OXR) is a robust tyrosinase inhibitor, but its instability, poor water solubility, and low skin permeation limit its use. | This study aimed to overcome these challenges by modifying OXR to dihydrooxyresverstrol (DHO) and encapsulating both compounds into nanostructured lipid carriers (NLCs). | As a result, searching for effective and safer tyrosinase inhibitors is ongoing. | OXR is similar to polyhydroxy trans-stilbenes such as resveratrol and piceatannol10, exhibiting a wide range of medicinal properties, including antioxidant, anti-inflammatory, neuroprotective, anti-cancer, anti-aging, and depigmentation effects8,1114. | Among its remarkable attributes, OXR stands out as one of the most potent tyrosinase inhibitors, demonstrating 33- and 45.5-fold greater tyrosinase inhibitory efficacy than kojic acid and resveratrol, respectively15. | However, the poor permeability and aqueous solubility of polyphenolic compounds limit their effectiveness due to decreased skin penetration and drug absorption rates1719. | The liquid lipid plays a crucial in NLCs by advancing several key properties over conventional lipid-based nanocarriers: Versatile biocompatible and non-toxic liquid lipids can be used for solubilizing and stabilizing bioactive compounds14,26. | In this study, OXR was derivatized to be dihydrooxyresveratrol (DHO), which enhanced its stability and tyrosinase inhibitory effect in vitro. | Additionally, nanostructured lipid carriers encapsulating these two potential tyrosinase inhibitors were developed, and their physicochemical properties, morphology, and cytotoxicity were further characterized. | Absorbance 405 was normalized with protein concentration prior to calculating tyrosinase inhibitory activity, to ensure the total protein used in each reaction was produced and harvested from the same amount of tested cells. | In our preliminary study, DHO remarkably exhibited mushroom tyrosinase inhibitory activity with IC50 (0.05 μM) approximately 6-time greater than OXR (IC50: 0.3 μM). | Permeation study of OXRDHO-loaded NLCs The extremely lipophilic and hydrophobic nature of the human skin surface poses a significant barrier to drug penetration, especially compounds with the same poor solubility as OXR and DHO. | Non-toxic concentrations of free drugs and their NLC formulations were used to assess their inhibitory effects on tyrosinase activity against α-melanocyte-stimulating hormone (α-MSH)-induced melanin synthesis in B16F10 cells. | These results highlight the potential of these compounds, when encapsulated in NLCs, as effective agents for inhibiting melanin synthesis. | For future therapeutic applications, further investigation into the inhibitory efficacy of these formulations on ultraviolet-induced hyperpigmentation in vivo and ex vivo models is essential.","O (MISC)"
11590012.xml,Polymer lipid hybrid nanoparticles for phytochemical delivery: challenges, progress, and future prospects,"Phytochemicals, naturally occurring compounds in plants, possess a wide range of therapeutic properties, including antioxidant, anti-inflammatory, anticancer, and antimicrobial activities. | Introduction Phytochemicals are naturally occurring compounds found in plants (from the Greek word phyton meaning plant) . | These bioactive compounds are responsible for the color, flavor, and aroma of plants, but more importantly, they contribute to the plants defense mechanisms against pathogens, pests, and environmental stresses. | These compounds are broadly categorized into several classes, including alkaloids, flavonoids, phenolic acids, terpenoids, and glycosides, each with distinct chemical structures and biological activities . | They function as antioxidants, anti-inflammatory agents, anticancer compounds, and antimicrobials, offering a natural and multifaceted arsenal for combating a wide array of diseases . | PLHNPs demonstrate relatively greater loading capacity for lipophilic compounds than other nanoparticle systems . | These ligands can include antibodies, peptides, aptamers, or small molecules that specifically bind to receptors overexpressed on the surface of target cells or tissues. | Significantly higher anticancer therapeutic potential against B16 cells than the pure compound. | Much higher in vivo antitumor activity in B16 tumor-bearing female BALBc mice on intraperitoneal injection than the pure compound. | Higher intestinal permeation and 4.74-fold increased bioavailability after oral administration compared to free compound. | Markedly enhanced antiproliferative activity against MCF-7 and MBD-MB-231 cells compared to the native compound. | Markedly enhanced antiproliferative activity against MCF-7 cancer cells compared to the native compound. | Stronger anti-oxidative and anti-inflammatory activity compared to the native compound. | Much higher cytotoxicity compared to the native compound. | 3-fold increased bioavailability after intravenous administration in SD rats compared to native compounds. | Higher tumor inhibition rate in MCF-7 tumor-bearing BALBc female mice than native compound. | Curcumin Curcumin (CUR) is a yellow, bioactive compound derived from the rhizome of the plant Curcuma longa, commonly known as turmeric . | CUR is known for a wide range of therapeutic effects, which include anti-inflammatory, antioxidant, antimicrobial, anticancer, cardioprotective, neuroprotective, anti-diabetic, and anti-arthritic properties . | This natural polyphenolic compound has gained attention for its diverse therapeutic effects. | QCT exhibits significant anti-inflammatory, antioxidant, antiviral, anticancer, cardioprotective, neuroprotective, and anti-allergic properties . | Thymoquinone Thymoquinone (THQ) is a bioactive compound derived from the seeds of Nigella sativa, commonly known as black cumin or black seed. | Resveratrol Resveratrol (RVT) is a natural polyphenolic compound found in various plants, particularly in red grapes, berries, and peanuts . | RVT exhibits significant antioxidant, anti-inflammatory, anticancer, cardioprotective, neuroprotective, and anti-aging properties . | This compound is recognized for its wide range of therapeutic effects. | APN exhibits significant anti-inflammatory, antioxidant, anticancer, neuroprotective, and cardioprotective properties . | It functions as a topoisomerase-I inhibitor, interfering with DNA replication and transcription in cancer cells, leading to cell cycle arrest and apoptosis . | Psoralen Psoralen is a naturally occurring organic compound found in several plants, including Psoralea corylifolia (Babchi), figs, celery, and parsley. | The developed PLHNPs revealed much better tumor inhibition potential than the native compound. | UA is categorized as a BCS class-IV compound exhibiting low solubility and low permeability. | Baicalin shows a range of therapeutic effects, including anti-inflammatory, antioxidant, anticancer, antiviral, neuroprotective, and hepatoprotective properties . | These findings highlight the potential of PLHNPs systems in improving the therapeutic potential of poorly soluble compounds like baicalin. | PRN exhibits significant anti-inflammatory, antioxidant, antimicrobial, antitumor, and neuroprotective properties . | Emodin Emodin (EDN) is a natural anthraquinone compound found in various plants, including rhubarb (Rheum palmatum), Japanese knotweed (Polygonum cuspidatum), buckthorn (Rhamnus frangula), and aloe vera (Aloe barbadensis). | After administration, emodin is rapidly metabolized in the intestine by the phase-II metabolism process, forming its glucuronide conjugate, catalyzed by UDP-glucuronosyltransferases, and the parent compound becomes nearly undetectable in vivo. | Encapsulated compounds PLHNPs type Pharmaceutical attributes Cancer type Cell lineanimal model Major outcomes Ref. | 2023 WO2022152141A3 Polymer conjugated lipid compounds and lipid nanoparticle compositions. | Effectively encapsulates the bioactive compound and enhances its stability and bioavailability. | The developed PLHNPs enhance the stability, solubility, and bioavailability of therapeutic compounds, and improve drug release profiles.","Greek (MISC)"
11590187.xml,Research progress and advances in endoplasmic reticulum stress regulation of acute kidney injury,"Additionally, some in vitro studies have evaluated the potential protective effects of specific compounds or drugs against nephrotoxic drug-induced AKI, finding that certain antioxidants, molecular chaperone enhancers, or specific signaling pathway inhibitors may alleviate drug-induced cellular damage . | Proteasome inhibitors (e.g., Bortezomib) and autophagy inducers (e.g., Rapamycin) also reduce cellular stress load by removing protein aggregates and promoting cellular recovery . | ER stress can regulate extracellular matrix synthesis and secretion, facilitating renal tubular remodeling by modulating matrix metalloproteinases (MMPs) and tissue inhibitors of metalloproteinases (TIMPs). | In AKI models, these compounds have shown the potential to protect renal cells from injury, suggesting their viability as effective drugs for AKI treatment. | On the other hand, small molecule inhibitors targeting ER stress pathways have also been investigated as therapeutic strategies for AKI. | For instance, inhibitors of IRE1α can prevent the overactivation of ER stress signaling, thus protecting cells from death. | Type of compounddrug Mechanism of action Research phase Potential effects Chemical Chaperones (4-PBA, TUDCA) Assist in proper protein folding, reduce accumulation of unfolded proteins in the ER Preclinical Alleviate ER stress, protect renal cells IRE1α Inhibitors Prevent overactivation of ER stress signaling Preclinical Reduce programmed cell death PERK Pathway Inhibitors Avoid excessive translational inhibition and cellular stress responses Preclinical Prevent AKI Autophagy-Promoting Drugs Enhance cellular tolerance to ER stress, clear damaged ER PreclinicalEarly Clinical Mitigate the impact of AKI Abbreviations: AKI: Acute Kidney Injury; ER: endoplasmic reticulum; 4-PBA: 4-phenylbutyric acid; TUDCA: tauroursodeoxycholic acid; IRE1α: Inositol-Requiring Enzyme 1α; PERK: Protein Kinase RNA-like Endoplasmic Reticulum Kinase. | Additionally, inhibitors or activators targeting specific ER stress signaling pathways are under investigation for their potential application in AKI treatment.","AKI (MISC), ER (MISC), AKI (MISC), AKI (MISC), ER (MISC), AKI (MISC), ER (MISC), AKI (MISC), AKI (MISC), AKI (MISC), AKI (MISC), ER (ORG), AKI (MISC), AKI (MISC), AK (MISC), AK (MISC), AK (MISC), AK (MISC), AK (MISC)"
